podróży służbowych,osób chorych na COVID,lekarzy,lekarzy i pielęgniarek,osób niechorujących na COVID,urzędników,osób regularnie podróżujących koleją,imigrantów,"obywateli Unii Europejskiej, Stanów Zjednoczonych, Kanady oraz państw Brytyjskiej Wspólnoty Narodów",chrześcijan,rolników,"osób które w latach 1980-1996 otrzymały transfuzję krwi w Wielkiej Brytanii",mitomanów,feministek,Liturgicznej Służby Ołtarza,zawodowych klaunów,mimów,rzemieślników,kanalarzy,kierowców autobusów,dziennikarzy,nauczycieli akademickich,patriotów,
nurków,decydentów,polityków,przedstawicieli proletariatu,programistów,skoczków narciarskich,dróżników,konduktorów,pracowników Agencji Restrukturyzacji i Modernizacji Rolnictwa,niechrześcijan,osób ubezpieczonych w ZUS,narkomanów,kleptomanów,członków Greenpeace,Wojsk Obrony Terytorialnej,kierowców rajdowych,artystów,listonoszy,motorniczych,osób niezdolnych do samodzielnej egzystencji,"osób, które nie zgadzają się z rozporządzeniem",kombatantów,dawców krwi,
piekarzy,murarzy,osób z wykształceniem wyższym,wędrownych kuglarzy,bezdomnych,bezrobotnych,Jana Borysewicza,Borysa Szyca,pracowników elektrowni w Ostrołęce,pracowników sanepidu,,,,,,,,,,,,,,
reprezentacji Polski w piłce nożnej,Otylii Jędrzejczak,Roberta Makłowicza,potomków Zawiszy Czarnego,sióstr Godlewskich,Wojciecha Cejrowskiego,Janusza Korwin-Mikkego,członków koła poselskiego Prawa i Sprawiedliwości,studentów wydziału Elektroniki i Technik Informacyjnych Politechniki Warszawskiej,Dawida Podsiadło,zespołu Kwiat Jabłoni,,,,,,,,,,,,,
krajów skandynawskich,"Austrii, Niemiec i Szwajcarii",Wysp Brytyjskich,Węgier,Białorusi,"Hiszpanii, Francji lub Włoch",krajów spoza UE,Ukrainy,Niemiec,Słowacji,Słowenii,Płocka,Radomia,Sosnowca,Kołobrzegu,Czech,Szwecji,państw bałtyckich,Poznania,Małopolski,Podhala,Górnego Śląska,Roztocza,Suwalszczyzny
rowerem,samolotem,samochodem,pociągiem,pojazdem dostawczym,ciężarówką,jachtem żaglowym o powierzchni ożaglowania nie przekraczającej 10 metrów kwadratowych w porze dziennej,,transportem publicznym,transportem publicznym oprócz samolotów,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,,,
5,25,55,1175,2135,,,,,,,,,,,,,,,,,,,
kościołów,imprez partyjnych,dożynek,kolonii i półkolonii,kolonii,"kolonii, ćwierćkolonii i 1/8 kolonii",turniejów łyżwiarskich,turniejów zawodowego pokera,zawodów w przeciąganiu liny,zawodów akrobatycznych,,,,,,,,,,,,,,
inauguracji mistrzostw Europy w piłce nożnej,Eurowizji,festiwalu w Opolu ,festiwalu w Sopocie,finału The Voice of Poland,bitw na śnieżki,kąpieli błotnych na Woodstocku,obozów ZHR,zbiorowych halucynacji,spotkań Świadków Jehowy,zawodów w rzucaniu oszczepem,,,,,,,,,,,,,
dansingów,dyskotek,uciech grupowych,wesel,pogrzebów,turniejów brydża,,,,,,,,,,,,,,,,,,
wyścigów konnych,turniejów ping-ponga,regat,wystaw psów rasowych,wystaw psów nierasowych,składania przysięgi wojskowej przez żołnierzy Wojsk Obrony Terytorialnej,tańców rytualnych,obrzędów zielonoświątkowych,procesji na Boże Ciało,koncertów kolęd i pastorałek,,,,,,,,,,,,,,
restauracje,bary,domy publiczne,puby,księgarnie,miejsca spotkań mniejszości narodowych,,,,,,,,,,,,,,,,,,
warsztaty wulkanizacji opon,baseny głębinowe,warsztaty stolarskie,warsztaty włókiennicze,magazyny ,miejsca spotkań większości narodowych,,,,,,,,,,,,,,,,,,
baseny przydomowe,sklepy wielkopowierzchniowe,sklepy średniopowierzchniowe,centra wystawiennicze,lądowiska dronów,,,,,,,,,,,,,,,,,,,
cukiernie,bazarki,zakłady pogrzebowe,krawcowe,pasmanterie,drogerie,sklepy spożywcze,szkoły językowe,urzędy,,,,,,,,,,,,,,,
piekarnie,kwiaciarnie,zakłady fotograficzne,uniwersytety,ochotnicze hufce pracy,zakłady opieki zdrowotnej,gabinety dentystyczne,,,,,,,,,,,,,,,,,
poniedziałki,parzyste poniedziałki,wtorki,nieparzyste wtorki,środy,czwartki,dni robocze,weekendy,piątki,piątki w roku przestępnym,owocowe czwartki,soboty,niedziele,niedziele handlowe,niedziele niehandlowe,niektóre wtorki,,,,,,,,
dyskretnie otwarte,otwarte,zamknięte,otwarte w dni tygodnia,otwarte w weekendy,czasem otwarte,,,,,,,,,,,,,,,,,,
otwierania okien,zamykania okien,palenia kadzidełek odkażających,uśmiechania się grzecznie,jedzenia nożem i widelcem,nieużywania ostrych przypraw,noszenia masek N95 przez kelnerów,ściągania butów przed jedzeniem,jedzenia w rękawiczkach,niekładzenia łokci na stole,zachowania szczególnej ostrożności przy jedzeniu,oddzielania się przepierzeniem od innych gości ,,,,,,,,,,,,
1-3,1-4,2-6,1-5,4-6,3-8,4-8,,,,,,,,,,,,,,,,,
w szkołach średnich,w technikach,w liceach,w szkołach położonych na wschód od Wisły,w szkółkach niedzielnych,w liceach profilowanych,w technikach elektronicznych,,w technikach mechanizacji rolnictwa,w szkołach mundurowych,,,,,,,,,,,,,,
w szkołach wyższych,na uniwersytetach teologicznych,na akademiach wychowania fizycznego,na szkołach medycznych,na uczelniach wojskowych,na uczelniach technicznych (za wyjątkiem AGH),na akademiach,na akademiach muzycznych,na szkołach leśniczych,na akademiach marynarki wojennej,na uniwersytetach medycznych,na uniwersytetach,,,,,,,,,,,,
niektorych uczelni,uczelni położonych w miastach wojewódzkich,uczelni prywatnych,,,,,,,,,,,,,,,,,,,,,
studenci będą nosić jednorazowe nakładki na buty,studenci nie będą zdejmować kurtek podczas zajęć,studenci będą nosić maski N95,studenci zostaną zaszczepieni na grypę,studenci będą oddychać przez nos,,,,,,,,,,,,,,,,,,,
"zamknięte, ale mają otwarte okna","otwarte, ale mają zamknięte okna",otwarte dla dziewczynek,otwarte dla chłopców,otwarte w godzinach 10-12,otwarte w godzinach 22-6,,,,,,,,,,,,,,,,,,
kościołach,sklepach spożywczych,cegielniach,drogeriach,domach,przestrzeniach współdzielonych,magazynach,muzeach,studiach telewizji śniadaniowych,studiu Dzień Dobry TVN,,,,,,,,,,,,,,
galeriach handlowych,sklepach budowlanych,cukierniach,pasmanteriach,domach jednorodzinnych,komórkach lokatorskich,teatrach,przejściach podziemnych,drogeriach,,,,,,,,,,,,,,,
8,15,6,20,30,40,50,10,12,16,30,25,2,3,,,,,,,,,,
wieczornych,porannych,8-10,10-12,12-12:30,15:00-15:30,ciszy nocnej,,,,,,,,,,,,,,,,,
starsze niż 65 lat,starsze niż 60 lat,starsze niż 55 lat,starsze niż 70 lat,młodsze niż 70 lat,urodzone w parzyste dni tygodnia,urodzone w nieparzyste dni tygodnia,mieszkające na wsi,"zameldowane na pobyt stały w dzielnicy gdzie znajduje się sklep",,,,,,,,,,,,,,,
65,10,15,20,25,30,35,40,45,50,60,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,,,
