podróży służbowych,osób chorych na COVID,lekarzy,lekarzy i pielęgniarek,osób niechorujących na COVID,urzędników,osób regularnie podróżujących koleją,imigrantów,obywateli Unii Europejskiej, Stanów Zjednoczonych, Kanady oraz państw Brytyjskiej Wspólnoty Narodów,chrześcijan,rolników,osób, które w latach 1980-1996 otrzymały transfuzję krwi w Wielkiej Brytanii,mitomanów,feministek,Liturgicznej Służby Ołtarza,zawodowych klaunów,mimów,rzemieślników,kanalarzy,kierowców autobusów,paralityków,epileptyków,patriotów,dziennikarzy,
nurków,decydentów,polityków,przedstawicieli proletariatu,programistów,skoczków narciarskich,dróżników,konduktorów,pracowników Agencji Restrukturyzacji i Modernizacji Rolnictwa,niechrześcijan,osób ubezpieczonych w ZUS,narkomanów,kleptomanów,członków Greenpeace,Wojsk Obrony Terytorialnej,kierowców rajdowych,artystów,listonoszy,motorniczych,osób niezdolnych do samodzielnej egzystencji,osób, które nie zgadzają się z rozporządzeniem,biedoty,dawców krwi,nauczycieli akademickich,
piekarzy,murarzy,osób z wykształceniem wyższym,wędrownych kuglarzy,bezdomnych,bezrobotnych,Jana Borysewicza (pod warunkiem, że jest trzeźwy),Borysa Szyca,pracowników elektrowni w Ostrołęce,pracowników sanepidu,,,,,,,,,,,,,,,
reprezentacji Polski w piłce nożnej,Otylii Jędrzejczak,Roberta Makłowicza,potomków Zawiszy Czarnego,sióstr Godlewskich,Wojciecha Cejrowskiego,Janusza Korwin-Mikkego,członków koła poselskiego Prawa i Sprawiedliwości,studentów wydziału Elektroniki i Technik Informacyjnych Politechniki Warszawskiej,Dawida Podsiadło,zespołu Kwiat Jabłoni,,,,,,,,,,,,,,
Rwandy,Madagaskaru,Trynidadu i Tobago,Dominikany,Białorusi,Katalonii,kraju Basków,Ukrainy,Niemiec,Słowacji,Słowenii,Płocka,Radomia,Sosnowca,,,,,,,,,,,
rowerem,samolotem,samochodem,pociągiem,pojazdem dostawczym,ciężarówką,drezyną,na rolkach,betoniarką,traktorem,jachtem żaglowym o powierzchni ożaglowania nie przekraczającej 10 metrów kwadratowych w porze dziennej,,,,,,,,,,,,,,
-,,,,,,,,,,,,,,,,,,,,,,,,
5,25,55,1175,2135,,,,,,,,,,,,,,,,,,,,
kościołów,imprez partyjnych,dożynek,kolonii i półkolonii,kolonii,kolonii, ćwierćkolonii i 1/8 kolonii,turniejów łyżwiarskich,turniejów zawodowego pokera,zawodów w przeciąganiu liny,zawodów akrobatycznych,,,,,,,,,,,,,,,
inauguracji mistrzostw Europy w piłce nożnej,Eurowizji,festiwalu w Opolu ,festiwalu w Sopocie,finału The Voice of Poland,bitw na śnieżki,kąpieli błotnych na Woodstocku,obozów ZHR,zbiorowych halucynacji,spotkań Świadków Jehowy,zawodów w rzucaniu oszczepem,,,,,,,,,,,,,,
dansingów,dyskotek,warsztatów garncarskich,wesel,pogrzebów,turniejów brydża,,,,,,,,,,,,,,,,,,,
wyścigów konnych,turniejów ping-ponga,regat,wystaw psów rasowych,wystaw psów nierasowych,składania przysięgi wojskowej przez żołnierzy Wojsk Obrony Terytorialnej,tańców rytualnych,obrzędów zielonoświątkowych,procesji na Boże Ciało,koncertów kolęd i pastorałek,,,,,,,,,,,,,,,
restauracje,bary,domy publiczne,puby,księgarnie,miejsca spotkań mniejszości narodowych,,,,,,,,,,,,,,,,,,,
