podróży służbowych	osób chorych na COVID	lekarzy	lekarzy i pielęgniarek	osób niechorujących na COVID-19	urzędników	osób regularnie podróżujących koleją	imigrantów	obywateli Unii Europejskiej, Stanów Zjednoczonych, Kanady i państw Brytyjskiej Wspólnoty Narodów	chrześcijan	rolników	osób, które w latach 1980-1996 otrzymały transfuzję krwi w Wielkiej Brytanii	mitomanów	feministek	Liturgicznej Służby Ołtarza	zawodowych klaunów	mimów	rzemieślników	kanalarzy	kierowców autobusów	dziennikarzy	nauczycieli akademickich	patriotów	osób chorych na nadciśnienie	dzieci w wieku szkolno-przedszkolnym	osób posiadających prawo jazdy kategorii C+E	pracowników Straży Granicznej	funkcjonariuszy Agencji Bezpieczeństwa Wewnętrznego	rzeźbiarzy	malarzy
nurków	decydentów	polityków	przedstawicieli proletariatu	programistów	skoczków narciarskich	dróżników	konduktorów	pracowników Agencji Restrukturyzacji i Modernizacji Rolnictwa	niechrześcijan	osób ubezpieczonych w ZUS	narkomanów	kleptomanów	aktywistów Greenpeace	Wojsk Obrony Terytorialnej	kierowców rajdowych	artystów	listonoszy	motorniczych	osób niezdolnych do samodzielnej egzystencji	osób, które nie zgadzają się z rozporządzeniem	kombatantów	dawców krwi	osób pomiędzy 18 a 60 rokiem życia	biznesmenów	ubezpieczonych w KRUS	maklerów	żonglerów	członków Antyradio Coverband	pilotów myśliwców
piekarzy	murarzy	osób z wykształceniem wyższym	wędrownych kuglarzy	bezdomnych	bezrobotnych	Jana Borysewicza	Borysa Szyca	pracowników elektrowni w Ostrołęce	pracowników sanepidu	górników	byłych górników	szewców	szermierzy	łuczników	myśliwych	kadry olimpijskiej na igrzyska w Tokio	Adama Małysza w kombinezonie skoczka narciarskiego	Svena Hannawalda	Mariusza Pudzianowskiego	zespołu Indios Bravos	członków zespołu Rammstein	Kuby Badacha	członków brytyjskiej rodziny królewskiej	Szymona Hołowni	Mariana Kowalskiego	sędzi Anny Marii Wesołowskiej	dilerów, maklerów i wart honorowych	mafii	stowarzyszenia Wolnomularzy
reprezentacji Polski w piłce nożnej	Otylii Jędrzejczak	Roberta Makłowicza	potomków Zawiszy Czarnego	sióstr Godlewskich	Wojciecha Cejrowskiego	Janusza Korwin-Mikkego	członków koła poselskiego Prawa i Sprawiedliwości	studentów wydziału Elektroniki i Technik Informacyjnych Politechniki Warszawskiej	Dawida Podsiadło	zespołu Kwiat Jabłoni	zespołu Pectus	Patryka Vegi	Beaty Tyszkiewicz	zespołu pieśni i tańca Mazowsze	załóg Polskich Linii Lotniczych LOT	księżnej Diany	Radka Kotarskiego z żoną i synkiem	dyrygentów	saksofonistów	jazzmanów	solipsystów	husarzy	Młodzieży Wszechpolskiej	lewaków	komandosów	agentów wywiadu i kontrwywiadu	Grety Thunberg	ambasadorów	myślicieli
krajów skandynawskich	Austrii, Niemiec i Szwajcarii	Wysp Brytyjskich	Węgier	Białorusi	Hiszpanii, Francji lub Włoch	krajów spoza UE	Ukrainy	Niemiec	Słowacji	Słowenii	Płocka	Radomia	Sosnowca	Portugalii, Hiszpanii (oprócz Wysp Kanaryjskich)	Czech	Szwecji	państw nadbałtyckich	Niemiec wschodnich	niemieckich landów Nadrenia-Westfalia Północna, Schleswig-Holstein oraz Dolna Saksonia	obszarów Norwegii, Szwecji i Finlandii położonych powyżej koła podbiegunowego	Zaolzia	Dalmacji	Rosji i państw byłego ZSRR	Kazachstanu	Armenii	Azerbejdżanu (w tym Nachiczewanu)	Mołdawii (w tym tereny Naddniestrza)	Chin	Chin (w tym Hongkong i Makau)
rowerem	samolotem	samochodem	pociągiem	pojazdem dostawczym	ciężarówką	jachtem żaglowym o powierzchni ożaglowania nie przekraczającej 10 metrów kwadratowych w porze dziennej		transportem publicznym	transportem publicznym oprócz samolotów	transportem publicznym lub prywatnym																			
-																													
5	25	55	1175	2135	22	80	443	100	200	300	400	112	44	15	60														
mszy świętych	imprez partyjnych	dożynek	kolonii i półkolonii	kolonii	kolonii, ćwierćkolonii i 1/8 kolonii	turniejów łyżwiarskich	turniejów zawodowego pokera	zawodów w przeciąganiu liny	zawodów akrobatycznych	meczów piłki nożnej	meczów futbolu amerykańskiego	meczów krykieta (nie dotyczy obywateli Indii)	Marszu Niepodległości	jasełek	bierzmowań	pierwszych Komunii	oblatywania samolotów	kursów spadochronowych	zbiorowych medytacji	hackathonów	rautów	koronowań	obrzędów okultystycznych	słowiańskich obrzędów religijnych	improwizowanych spektakli komediowych	uroczystych ratyfikacji umów i traktatów międzynarodowych	odbierania przysięgi Hipokratesa od studentów ostatnich lat kierunków medycznych	kręcenia reklam Apartu	zawodów w sprincie na 100 m
inauguracji mistrzostw Europy w piłce nożnej	Eurowizji	festiwalu w Opolu	festiwalu w Sopocie	finału The Voice of Poland	bitw na śnieżki	kąpieli błotnych na Woodstocku	obozów ZHR	zbiorowych halucynacji	spotkań Świadków Jehowy	zawodów w rzucaniu oszczepem	meczy koszykówki	meczy baseballu (nie dotyczy obywateli USA)	Parady Równości	akademii szkolnych	chrztów	wodowań statków nienależących do Marynarki Wojennej RP	wyciągania szybowców	kursów tanecznych	turniejów tysiąca i makao	festiwali poezji	zbiorowych hucp	błogosławienia samochodów na św. Krzysztofa	śpiewograń	rekonstrukcji bitew	zbiorowego picia yerba mate	wręczania odznaczeń i orderów państwowych	imprez studenckich	prób chórów	Warszawskiego Festiwalu Piwa
