podróży służbowych	osób chorych na COVID	lekarzy	lekarzy i pielęgniarek	osób niechorujących na COVID	urzędników	osób regularnie podróżujących koleją	imigrantów	obywateli Unii Europejskiej, Stanów Zjednoczonych, Kanady oraz państw Brytyjskiej Wspólnoty Narodów	chrześcijan	rolników	osób, które w latach 1980-1996 otrzymały transfuzję krwi w Wielkiej Brytanii	mitomanów	feministek	Liturgicznej Służby Ołtarza	zawodowych klaunów	mimów	rzemieślników	kanalarzy	kierowców autobusów	dziennikarzy	nauczycieli akademickich	patriotów	osób chorych na nadciśnienie	dzieci w wieku szkolno-przedszkolnym	osób posiadających prawo jazdy kategorii C+E	pracowników Straży Granicznej	funkcjonariuszy Agencji Bezpieczeństwa Wewnętrznego	rzeźbiarzy	malarzy
nurków	decydentów	polityków	przedstawicieli proletariatu	programistów	skoczków narciarskich	dróżników	konduktorów	pracowników Agencji Restrukturyzacji i Modernizacji Rolnictwa	niechrześcijan	osób ubezpieczonych w ZUS	narkomanów	kleptomanów	członków Greenpeace	Wojsk Obrony Terytorialnej	kierowców rajdowych	artystów	listonoszy	motorniczych	osób niezdolnych do samodzielnej egzystencji	osób, które nie zgadzają się z rozporządzeniem	kombatantów	dawców krwi	osób pomiędzy 18 a 60 rokiem życia	biznesmenów	ubezpieczonych w KRUS	maklerów	żonglerów	członków Antyradio Coverband	pilotów myśliwców
piekarzy	murarzy	osób z wykształceniem wyższym	wędrownych kuglarzy	bezdomnych	bezrobotnych	Jana Borysewicza	Borysa Szyca	pracowników elektrowni w Ostrołęce	pracowników sanepidu	górników	byłych górników	szewców	szermierzy	łuczników	myśliwskich	kadry olimpijskiej na igrzyska w Tokio	Adama Małysza w kombinezonie skoczka narciarskiego	Svena Hannawalda	Mariusza Pudzianowskiego	zespołu Indios Bravos	członków zespołu Rammstein	Kuby Badacha 	członków brytyjskiej rodziny królewskiej	Szymona Hołowni	Mariana Kowalskiego	sędzi Anny Marii Wesołowskiej	dilerów, maklerów i wart honorowych	mafii	stowarzyszenia Wolnomularzy
reprezentacji Polski w piłce nożnej	Otylii Jędrzejczak	Roberta Makłowicza	potomków Zawiszy Czarnego	sióstr Godlewskich	Wojciecha Cejrowskiego	Janusza Korwin-Mikkego	członków koła poselskiego Prawa i Sprawiedliwości	studentów wydziału Elektroniki i Technik Informacyjnych Politechniki Warszawskiej	Dawida Podsiadło	zespołu Kwiat Jabłoni	zespołu Pectus	Patryka Vegi	Beaty Tyszkiewicz	zespołu pieśni i tańca Mazowsze	załóg Polskich Linii Lotniczych LOT	księżnej Diany	Radka Kotarskiego z żoną i synkiem												
krajów skandynawskich	Austrii, Niemiec i Szwajcarii	Wysp Brytyjskich	Węgier	Białorusi	Hiszpanii, Francji lub Włoch	krajów spoza UE	Ukrainy	Niemiec	Słowacji	Słowenii	Płocka	Radomia	Sosnowca	Portugalii, Hiszpanii (oprócz Wysp Kanaryjskich)	Czech	Szwecji	państw nadbałtyckich	Niemiec wschodnich	niemieckich landów Nadrenia-Westfalia Północna, Schleswig-Holstein oraz Dolna Saksonia	obszarów Norwegii, Szwecji i Finlandii położonych powyżej koła podbiegunowego	Zaolzia	Dalmacji	Rosji i państw byłego ZSRR	Kazachstanu	Armenii	Azerbejdżanu (w tym Nahiczewanu)	Mołdawii (w tym tereny Naddniestrza)	Chin	Chin (w tym Honkgong i Makau)
rowerem	samolotem	samochodem	pociągiem	pojazdem dostawczym	ciężarówką	jachtem żaglowym o powierzchni ożaglowania nie przekraczającej 10 metrów kwadratowych w porze dziennej		transportem publicznym	transportem publicznym oprócz samolotów	transportem publicznym lub prywatnym																			
-																													
5	25	55	1175	2135	22	80	443	100	200	300	400																		
mszy świętych	imprez partyjnych	dożynek	kolonii i półkolonii	kolonii	kolonii, ćwierćkolonii i 1/8 kolonii	turniejów łyżwiarskich	turniejów zawodowego pokera	zawodów w przeciąganiu liny	zawodów akrobatycznych	meczy piłki nożnej	meczy futbolu amerykańskiego	meczy krykieta (nie dotyczy obywateli Indii)	Marszu Niepodległości	jasełek	bierzmowań	pierwszych Komunii	oblatywania samolotów	kursów spadochronowych	zbiorowych medytacji	hackathonów	rautów	koronowań	obrzędów okultystycznych	słowiańskich obrzędów religijnych	improwizowanych spekakli komediowych	uroczystych ratyfikacji umów i traktatów międzynarodowych	odbierania przysięgi Hipokratesa od studentów ostatnich lat kierunków medycznych	kręcenia reklam Apartu	
inauguracji mistrzostw Europy w piłce nożnej	Eurowizji	festiwalu w Opolu 	festiwalu w Sopocie	finału The Voice of Poland	bitw na śnieżki	kąpieli błotnych na Woodstocku	obozów ZHR	zbiorowych halucynacji	spotkań Świadków Jehowy	zawodów w rzucaniu oszczepem	meczy koszykówki	meczy baseballu (nie dotyczy obywateli USA)	Parady Równości	akademii szkolnych	chrztów	wodowań statków nienależąych do Marynarki Wojennej RP	wyciągania szybowców	kursów tanecznych	turniejów tysiąca i makao	festiwali poezji	zbiorowych hucp	błogosławienia samochodów na św. Krzysztofa	śpiewograń	rekonstrukcji bitew 	zbiorowego picia yerba mate	wręczania odznaczeń i orderów państwowych	imprez studenckich	prób chórów	
dansingów	dyskotek	uciech grupowych	wesel	pogrzebów	turniejów brydża	palenia sziszy	osuszania bagien	kongresów założycielskich partii politycznych	koncertów Maryli Rodowicz	memoriału Huberta Wagnera																			
wyścigów konnych	turniejów ping-ponga	regat	wystaw psów rasowych	wystaw psów nierasowych	składania przysięgi wojskowej przez żołnierzy Wojsk Obrony Terytorialnej	tańców rytualnych	obrzędów zielonoświątkowych	procesji na Boże Ciało	koncertów kolęd i pastorałek	rajdów samochodowych																			
restauracje	bary	domy publiczne	puby	księgarnie	miejsca spotkań mniejszości narodowych	kluby	niektóre kluby	centra krwiodawstwa	winnice	miejsca spotkań burżuazji	sklepy z gadżetami erotycznymi	sklepy RTV i AGD	stacje benzynowe	domy kultury	cmentarze	kluby fitness	kręgielnie	remizy strażackie	przytułki dla bezdomnych	ogrody botaniczne	bunkry	domy weselne	sklepy GS	sklepy Lewiatan					
warsztaty wulkanizacji opon	baseny głębinowe	warsztaty stolarskie	warsztaty włókiennicze	magazyny 	miejsca spotkań większości narodowych	kościoły	sobory prawosławne	sale królestwa Świadków Jehowy	butiki	sejmiki wojewódzkie	wypożyczalnie DVD	pizzerie	zakłady przetwórstwa mięsnego	pomniki przyrody	strzelnice	siłownie	fabryki pojazdów szynowych	mieszkania na Airbnb	wieżowce	ogrody zoologiczne	cytadele	domy uciech	redakcje dzienników lokalnych	gabinety fizjoterapeutów					
baseny przydomowe	sklepy wielkopowierzchniowe	sklepy średniopowierzchniowe	centra wystawiennicze	lądowiska dronów	domy seniora	synagogi	meczety	świątynie wierzeń słowiańskich	sklepy z biżuterią tradycyjną	przedsiębiorstwa usług komunalnych	Media-Markty	kawiarnie	masarnie	alejki parkowe węższe niż 2m	baseny otwarte	baseny zamknięte	fabryki akumulatorów litowo-jonowych	hostele	magazyny chłodnicze	arboreta	budowle obronne	klubokawiarnie	kancelarie prawne	stanice GOPR					
cukiernie	bazarki	zakłady pogrzebowe	krawcowe	pasmanterie	drogerie	sklepy spożywcze	szkoły językowe	urzędy																					
piekarnie	kwiaciarnie	zakłady fotograficzne	uniwersytety	ochotnicze hufce pracy	zakłady opieki zdrowotnej	gabinety dentystyczne																							
poniedziałki	parzyste poniedziałki	wtorki	nieparzyste wtorki	środy	czwartki	dni robocze	weekendy	piątki	piątki w roku przestępnym	owocowe czwartki	soboty	niedziele	niedziele handlowe	niedziele niehandlowe	niektóre wtorki														
dyskretnie otwarte	otwarte	zamknięte	otwarte w dni tygodnia	otwarte w weekendy	czasem otwarte																								
otwierania okien	zamykania okien	palenia kadzidełek odkażających	uśmiechania się grzecznie	jedzenia nożem i widelcem	nieużywania ostrych przypraw	noszenia masek N95 przez kelnerów	ściągania butów przed jedzeniem	jedzenia w rękawiczkach	niekładzenia łokci na stole	zachowania szczególnej ostrożności przy jedzeniu	oddzielania się przepierzeniem od innych gości 																		
1-3	1-4	2-6	1-5	4-6	3-8	4-8																							
w szkołach średnich	w technikach	w liceach	w szkołach położonych na wschód od Wisły	w szkółkach niedzielnych	w liceach profilowanych	w technikach elektronicznych	w technikach gastronomicznych	w technikach mechanizacji rolnictwa	w szkołach mundurowych	w szkołach zawodowych	w szkołach przysposabiających do pracy	w szkołach specjalnych	w zespołach szkół																
w szkołach wyższych	na uczelniach wojskowych	na uczelniach dentystycznych	w szkołach policealnych	na prywatnych kursach	na prywatnych kursach przygotowujących do zatrudnienia w niektórych zawodach	na akademiach	na akademiach muzycznych	na SGGW	na Wojskowej Akademii Technicznej	na uniwersytetach medycznych	na uniwersytetach	na uczelniach leśniczych	na akademii morskiej	na bootcampach programistycznych															
niektorych uczelni	uczelni położonych w miastach wojewódzkich	uczelni prywatnych																											
studenci będą nosić jednorazowe nakładki na buty	studenci nie będą zdejmować kurtek podczas zajęć	studenci będą nosić maski N95	studenci zostaną zaszczepieni na grypę	studenci będą oddychać przez nos																									
zamknięte, ale mają otwarte okna	otwarte, ale mają zamknięte okna	otwarte dla dziewczynek	otwarte dla chłopców	otwarte w godzinach 10-12	otwarte w godzinach 22-6																								
kościołach	sklepach spożywczych	cegielniach	drogeriach	domach	przestrzeniach współdzielonych	magazynach	muzeach	studiach telewizji śniadaniowych	studiu Dzień Dobry TVN	świątyniach	salach koncertowych	kioskach	budynkach użyteczności publicznej	blokach operacyjnych szpitali węzłowych	budkach dróżników kolejowych	przedszkolach	pałacach magnaterii	salach wykładowych	budynkach państwowych instytutów badawczych	schroniskach PTTK									
galeriach handlowych	sklepach budowlanych	cukierniach	pasmanteriach	domach jednorodzinnych	komórkach lokatorskich	teatrach	przejściach podziemnych	drogeriach	niektórych sklepach	budynkach dworców kolejowych	sklepach mięsnych	siłowniach	pomieszczeniach bez okien	koszarach wojskowych	marinach ekologicznych	szkołach	laboratoriach	sklepach dla deskorolkarzy	leśniczówkach	wieżach kontroli lotów									
8	15	6	20	30	40	50	10	12	16	30	25	2	3																
wieczornych	porannych	8:00-10:00	10:00-12:00	12:00-12:30	15:00-15:30	ciszy nocnej	21:00-7:00																						
starsze niż 65 lat	starsze niż 60 lat	starsze niż 55 lat	starsze niż 70 lat	młodsze niż 70 lat	urodzone w parzyste dni tygodnia	urodzone w nieparzyste dni tygodnia	mieszkające na wsi	zameldowane na pobyt stały w dzielnicy, w której znajduje sie sklep																					
65	10	15	20	25	30	35	40	45	50	60																			
<$32% x 60>																													
